"gene"	"length"	"logfc"	"logcpm"	"F"	"p"	"fdr"	"gene2"	"IFNg_A"	"IFNg_B"	"IFNg_C"	"WT_A"	"WT_B"	"WT_C"
"0610009B22Rik"	1360	-0.0717422302736865	2.84289498048258	0.230845207522041	0.642411893799209	0.85675207354953	"0610009B22Rik"	2.57486801269972	3.11388455965362	2.87278883010414	2.46647891805609	3.18333457336845	2.68768641804351
"0610009L18Rik"	619	-0.476627023718477	1.29752109958599	3.21932831360826	0.106505128036036	0.43514287588683	"0610009L18Rik"	1.67755915551862	1.71533390335109	1.05556401851852	0.892562091089262	1.05336331376902	1.14450117042419
"0610010F05Rik"	7244	0.702508646189509	2.28667904324385	12.3866686365607	0.00656696487829022	0.146723574163382	"0610010F05Rik"	2.03061199637406	2.02505515130634	1.60806579179077	2.36048122009042	3.04813896242903	2.2939146806521
"0610010K14Rik"	981	-0.186677499821626	5.85884132081744	5.30038269736013	0.0469509785408453	0.323272691224786	"0610010K14Rik"	5.86386611833397	6.05237918092	5.92184338148403	5.76079922278676	5.64732536627308	5.86983069660677
"0610012G03Rik"	1456	-0.0463475198714639	5.06973073675434	0.308129148890975	0.592416934093066	0.830601878012741	"0610012G03Rik"	5.26782719872906	5.18923497886774	4.79143152018839	5.10027778171108	5.14120448682517	4.87216383802987
"0610030E20Rik"	4996	-0.0463688117004108	6.23904521193915	0.64891503382957	0.441355045475942	0.737427198247531	"0610030E20Rik"	6.24089694595902	6.28999862609178	6.25398579403129	6.15685269598037	6.24834552285258	6.24029726539688
"0610039H22Rik"	730	-0.540593697607911	2.43980128500384	7.06450992298979	0.0262335849965825	0.261163902869757	"0610039H22Rik"	2.77506807425072	2.61431322653253	2.60653262298773	2.05541307054448	1.76376786444468	2.54042351827694
"0610042G04Rik"	1899	-0.215976369573299	1.64531994300605	0.92384771215379	0.361687327614597	0.688730210423158	"0610042G04Rik"	1.78459993195203	1.82612839459928	1.60806579179077	1.40026577499692	1.42482157941486	1.75056580292757
"1110002L01Rik"	3300	-0.012326252287438	2.55828844023166	0.00555133252283985	0.942243781535692	0.981899365147086	"1110002L01Rik"	2.55080667482896	2.71373460572497	2.41708690576613	2.46647891805609	2.56930044652331	2.61026296005082
"1110004F10Rik"	1853	0.0655220038446027	6.89994759856579	1.08346317577384	0.325196846711175	0.662745237350528	"1110004F10Rik"	6.79068197694667	6.90230933399301	6.90381915319039	7.013429152841	6.89897977163316	6.88166554472659
