"gene"	"length"	"logfc"	"logcpm"	"F"	"p"	"fdr"	"gene2"	"WT_A"	"WT_B"	"WT_C"	"GCB_A"	"GCB_B"	"GCB_C"
"0610009B22Rik"	1360	-1.67223368502319	3.92935620022717	37.5765592477347	0.000428443814016141	0.00136248062796787	"0610009B22Rik"	2.54457338749231	3.24959413798554	2.75563407561322	4.54634455734372	4.64881962827305	4.40618165399539
"0610009L18Rik"	619	-0.815215441742161	1.54510346814416	4.29606651242271	0.0758390908109388	0.103926158994829	"0610009L18Rik"	0.981026502558976	1.13083260375279	1.22139570524897	2.29174208560302	1.17552469600231	2.00464067126016
"0610010F05Rik"	7244	-1.01686586624596	3.26253908661965	9.93109436026324	0.0155592200324928	0.0258701954617178	"0610010F05Rik"	2.43897694293457	3.11472585840932	2.36333281045967	3.81198209236956	3.70235686859721	3.52012712808072
"0610010K14Rik"	981	-0.710592369225299	6.22601663178573	19.7400554266343	0.00280374483337186	0.00597020524990188	"0610010K14Rik"	5.83415861555459	5.71085402853796	5.93360076129161	6.80776428687725	6.45800876698523	6.29863366501482
"0610012G03Rik"	1456	-0.883447443064612	5.61537673113967	18.8483415752905	0.00317942118001475	0.00662073109884574	"0610012G03Rik"	5.17394971888822	5.20498740609518	4.93645013546826	6.36658296327872	5.75072852586267	5.76248755351171
"0610030E20Rik"	4996	1.33074317711687	5.76688339782978	61.005673173637	9.20259479287361e-05	0.000453969006727949	"0610030E20Rik"	6.23008285048182	6.31166800494742	6.30395001522253	5.17320490779348	5.02694788778412	4.59226688708527
"0610039H22Rik"	730	-0.885844833855253	2.72145431178283	5.73908964646731	0.0468419529529833	0.0679446692592821	"0610039H22Rik"	2.13524182621077	1.83559839330434	2.60887489582559	3.40499964221203	2.61371761945132	3.16768939976569
"0610042G04Rik"	1899	0.217662500086164	1.51625414329668	0.369050420712252	0.562202917777363	0.614727431912232	"0610042G04Rik"	1.48410709007591	1.49900181459449	1.8227952749699	1.81375608832705	1.13078934064154	1.12099825366352
"1110002L01Rik"	3300	0.405468137607661	2.4433521725789	1.04710929689259	0.339350613391494	0.393265848009497	"1110002L01Rik"	2.54457338749231	2.63732681115644	2.67846905600501	2.56855504589082	2.45945893192036	1.32153088331856
"1110004F10Rik"	1853	-0.611956093315193	7.33680848848151	15.8918812358359	0.00499563679274352	0.009685814556001	"1110004F10Rik"	7.0864761145432	6.96215741221175	6.94517447022103	7.89296324537337	7.40042779903532	7.48854439594832
"1110008P14Rik"	657	0.548310144135434	4.89115834025512	8.24524729264948	0.0232515126253332	0.0367748080601488	"1110008P14Rik"	5.15323133143166	5.13265433917921	5.12690229223745	4.88655845759997	4.44465640038123	4.38394230397457
