"gene"	"length"	"logfc"	"logcpm"	"F"	"p"	"fdr"	"gene2"	"Bmem_A"	"Bmem_B"	"Bmem_C"	"GCB_A"	"GCB_B"	"GCB_C"
"0610009B22Rik"	1360	-0.216119940764899	4.49846668642371	0.160552130583382	0.698691621285435	0.910201556564513	"0610009B22Rik"	5.09897907128709	3.80759278247918	4.09477063166441	4.54609861290755	4.60616028793682	4.48922689481392
"0610009L18Rik"	619	1.18960705660032	2.74934053384851	2.54840841558793	0.14743552019924	0.474444266624683	"0610009L18Rik"	3.87049322041707	1.66310252252831	3.46233332613113	2.29997927949889	1.15663208267938	2.09573232540621
"0610010F05Rik"	7244	-0.487855520415695	3.52695899500178	0.504957201175634	0.496667475215637	0.81197888989514	"0610010F05Rik"	3.00996514933111	4.00441003799296	2.63722419787186	3.81323231791897	3.66189426812063	3.60476902787481
"0610010K14Rik"	981	0.175973425475775	6.67742586780469	0.342480879977742	0.57384943209503	0.853795226326668	"0610010K14Rik"	7.30611506597407	6.03409175528727	6.77896806674657	6.80573209217481	6.41365387530767	6.38030196570845
"0610012G03Rik"	1456	0.501864149029817	6.3431841969683	2.34572939342609	0.162536578863002	0.498505955831072	"0610012G03Rik"	7.22778873225018	5.57264299700126	6.60639420442976	6.36471925084399	5.70680218528295	5.8443844119639
"0610030E20Rik"	4996	-0.342667968260589	4.79407969629483	0.570565226059544	0.470772315893083	0.794506233381183	"0610030E20Rik"	4.73909483679352	4.45603232101694	4.61459850068176	5.17216384059385	4.98374173494527	4.67508416622381
"0610039H22Rik"	730	1.03306977643995	3.7573993233286	2.74582489230587	0.134458126394107	0.452341315217287	"0610039H22Rik"	4.32210518062681	3.34337130777195	4.63430332327886	3.40747106898358	2.5783867525193	3.25329321239972
"0610040B10Rik"	440	0.754018169375688	1.96017986081005	0.734732273780513	0.415241284644319	0.755467429672949	"0610040B10Rik"	2.60033690475554	1.76882112643652	2.20822521653005	0.385057823420151	1.75092293252578	2.20712364689374
"0610042G04Rik"	1899	2.11611162699569	2.91945925365546	7.6893230592939	0.023184826660971	0.163584416395788	"0610042G04Rik"	4.36455879974618	2.44742821589873	3.48421499686909	1.82619034789651	1.1127123305205	1.2204291493087
"1110002L01Rik"	3300	-1.39260803293249	1.86088592247036	2.44036097058721	0.155242634210534	0.48715005112909	"1110002L01Rik"	1.18970687611136	2.31407537840609	-1.01726830104874	2.57492283599701	2.42521880140149	1.4186038229254
"1110004F10Rik"	1853	0.085832480705915	7.68953723112649	0.109732092310549	0.748598361441026	0.92919493745015	"1110004F10Rik"	8.17497156106193	7.11987787490807	7.77682773941095	7.89068201241779	7.35574795628228	7.5699274295813
"1110006O24Rik"	768	0.35809677314646	2.11792411277861	0.221689151936343	0.649793920846426	0.890445435526758	"1110006O24Rik"	2.28379785879583	1.28960580946978	2.96746478589515	2.02252290028891	1.46682453281147	2.01638688451891
"1110008P14Rik"	657	1.15442875699577	5.34214893280731	8.25784149128785	0.0197856575105285	0.148857976211564	"1110008P14Rik"	6.34100594852728	5.02959297630097	5.82670595686579	4.88583859156015	4.40235747585154	4.46701680602273
"1110032A03Rik"	5581	0.331117920707545	4.80539863174153	0.432748391558051	0.528333013641622	0.830330336117513	"1110032A03Rik"	5.66295842430781	4.555406902452	4.42963219322485	4.54964126550971	4.92145982816885	4.18803939080616
"1110038B12Rik"	590	-0.395284415123453	4.09771235939156	0.439276203906838	0.525315494379316	0.82836400923813	"1110038B12Rik"	3.63645275197794	3.44255860645757	4.48494306187032	4.40850145425083	4.21254422747756	4.10417828737625
"1110038F14Rik"	1661	0.280688462850315	6.28351950358517	0.839531572470761	0.385191548327169	0.734250959002721	"1110038F14Rik"	7.06569735889798	6.14132776438778	5.85637177409278	6.38071896030545	6.01636149043795	5.82705016346693
