TAN_2022_LUNG_BRM_LESS_THAN_AVERAGE	TAN_2022_LUNG_BRM_GREATER_THAN_AVERAGE
NA	NA
KLRA7	BCL2A1B
GZMA	LMNA
NCR1	JCHAIN
CCL5	TMEM154
KLRE1	GIMAP4
KLRK1	GPR55
KLRI2	AHR
KLRD1	TRAF1
GZMB	LIPC
COL5A3	TPPP
RAPGEFL1	ADA
KLRB1C	NT5E
SLCO5A1	ST8SIA6
CD7	FGL2
TMEM26	SLPI
IL18RAP	AICDA
KLK1	MYBL1
COX6A2	PRG2
PPM1E	FCRL5
NUAK1	ACKR2
EDARADD	PDCD1LG2
MAP2	FAS
CCR2	NUGGC
SIGLECH	LMO7
SOX4	CACNA1S
NKG7	CD300LF
CPLX2	S1PR2
NRGN	NRP2
CSRP2	EBI3
SERINC5	OOSP1
CD93	FN1
AGPAT9	PLBD1
CTSW	IL9R
CCND1	FFAR2
CD8A	DUSP4
GFOD1	CPD
TSC22D1	BASP1
ISLR2	CD80
ARL4C	H2-EB2
AKAP12	CCR1
WFDC21	SEMA7A
PRF1	LTA
CTLA2A	TBC1D9
CCR9	TPPP3
ATP1B1	GCSAM
VPREB3	CDH17
PDE2A	P2RY13
SEMA4A	CCR6
CTSL	CXCR3
TYROBP	CHST1
CCR5	CCL22
FCER1G	HSPG2
FRAT2	APOE
ITGAX	FSCN1
SKAP1	GATM
PRKCG	GPR34
BRWD1	GPR82
EOMES	LPL
ZAP70	CHIL3
PRKCQ	SCGB1A1
S100A9	SFTPC
MCTP2	RPRM
CD247	
2700081O15RIK	
CST7	
CMPK2	
MS4A4B	
ARL5C	
EPS8	
CECR2	
ZDHHC14	
PLTP	
ITK	
MYB	
FAM129C	
BMF	
NEDD4	
TIFA	
CD8B1	
GPR146	
TRIB1	
THY1	
TREML2	
HES1	
SPNS2	
ZFP608	
HCK	
PRKCH	
ITGAD	
LAG3	
PLXND1	
CD27	
SLAMF9	
