NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE40274_CTRL_VS_FOXP3_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	GSE40274_CTRL_VS_FOXP3_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	Details ...	182	0.8487439	3.2557344	0.0	0.0	0.0	1480	tags=73%, list=11%, signal=81%	
GSE40274_FOXP3_VS_FOXP3_AND_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	GSE40274_FOXP3_VS_FOXP3_AND_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	Details ...	178	0.79414153	3.077088	0.0	0.0	0.0	1836	tags=64%, list=13%, signal=73%	
GSE2770_UNTREATED_VS_ACT_CD4_TCELL_2H_UP	GSE2770_UNTREATED_VS_ACT_CD4_TCELL_2H_UP	Details ...	171	0.76545197	2.9175558	0.0	0.0	0.0	1958	tags=60%, list=14%, signal=69%	
GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_48H_UP	GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_48H_UP	Details ...	176	0.7646283	2.9149365	0.0	0.0	0.0	2065	tags=57%, list=15%, signal=66%	
GSE5542_IFNG_VS_IFNA_TREATED_EPITHELIAL_CELLS_24H_DN	GSE5542_IFNG_VS_IFNA_TREATED_EPITHELIAL_CELLS_24H_DN	Details ...	128	0.7902297	2.9130049	0.0	0.0	0.0	1501	tags=51%, list=11%, signal=56%	
GSE557_CIITA_KO_VS_I_AB_KO_DC_UP	GSE557_CIITA_KO_VS_I_AB_KO_DC_UP	Details ...	171	0.762728	2.898455	0.0	0.0	0.0	1987	tags=59%, list=14%, signal=68%	
GSE411_UNSTIM_VS_100MIN_IL6_STIM_MACROPHAGE_DN	GSE411_UNSTIM_VS_100MIN_IL6_STIM_MACROPHAGE_DN	Details ...	169	0.7266982	2.8162627	0.0	0.0	0.0	2334	tags=56%, list=17%, signal=66%	
GSE23502_BM_VS_COLON_TUMOR_MYELOID_DERIVED_SUPPRESSOR_CELL_UP	GSE23502_BM_VS_COLON_TUMOR_MYELOID_DERIVED_SUPPRESSOR_CELL_UP	Details ...	167	0.7447624	2.8042285	0.0	0.0	0.0	2015	tags=50%, list=14%, signal=57%	
GSE12366_GC_VS_NAIVE_BCELL_DN	GSE12366_GC_VS_NAIVE_BCELL_DN	Details ...	144	0.7535116	2.7909122	0.0	0.0	0.0	1598	tags=49%, list=11%, signal=54%	
GSE5542_IFNG_VS_IFNA_TREATED_EPITHELIAL_CELLS_6H_DN	GSE5542_IFNG_VS_IFNA_TREATED_EPITHELIAL_CELLS_6H_DN	Details ...	119	0.7620656	2.753216	0.0	0.0	0.0	1786	tags=50%, list=13%, signal=56%	
GSE18893_TCONV_VS_TREG_24H_CULTURE_UP	GSE18893_TCONV_VS_TREG_24H_CULTURE_UP	Details ...	172	0.724216	2.7433457	0.0	0.0	0.0	1540	tags=53%, list=11%, signal=59%	
GSE2770_UNTREATED_VS_TGFB_AND_IL4_TREATED_ACT_CD4_TCELL_4H_UP	GSE2770_UNTREATED_VS_TGFB_AND_IL4_TREATED_ACT_CD4_TCELL_4H_UP	Details ...	176	0.7152084	2.7296245	0.0	0.0	0.0	2142	tags=47%, list=15%, signal=55%	
GSE5679_PPARG_LIGAND_ROSIGLITAZONE_VS_RARA_AGONIST_AM580_TREATED_DC_DN	GSE5679_PPARG_LIGAND_ROSIGLITAZONE_VS_RARA_AGONIST_AM580_TREATED_DC_DN	Details ...	152	0.712411	2.6951904	0.0	0.0	0.0	1920	tags=48%, list=14%, signal=55%	
GSE12366_GC_VS_MEMORY_BCELL_DN	GSE12366_GC_VS_MEMORY_BCELL_DN	Details ...	148	0.7172442	2.672196	0.0	0.0	0.0	1744	tags=47%, list=12%, signal=53%	
GSE5679_RARA_AGONIST_AM580_VS_AM580_AND_ROSIGLITAZONE_TREATED_DC_DN	GSE5679_RARA_AGONIST_AM580_VS_AM580_AND_ROSIGLITAZONE_TREATED_DC_DN	Details ...	156	0.7115657	2.669864	0.0	0.0	0.0	1582	tags=46%, list=11%, signal=51%	
GSE411_UNSTIM_VS_400MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_UP	GSE411_UNSTIM_VS_400MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_UP	Details ...	159	0.69667596	2.6584928	0.0	0.0	0.0	1935	tags=47%, list=14%, signal=54%	
GSE5455_EX_VIVO_VS_POST_24H_INCUBATION_MONOCYTES_FROM_TUMOR_BEARING_MOUSE_DN	GSE5455_EX_VIVO_VS_POST_24H_INCUBATION_MONOCYTES_FROM_TUMOR_BEARING_MOUSE_DN	Details ...	134	0.71235156	2.6273727	0.0	0.0	0.0	1547	tags=42%, list=11%, signal=47%	
GSE411_100MIN_VS_400MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_DN	GSE411_100MIN_VS_400MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_DN	Details ...	179	0.69004256	2.6237323	0.0	0.0	0.0	2304	tags=53%, list=16%, signal=62%	
GSE15271_CXCR4_POS_VS_NEG_GC_BCELL_DN	GSE15271_CXCR4_POS_VS_NEG_GC_BCELL_DN	Details ...	143	0.6792638	2.5705748	0.0	0.0	0.0	1978	tags=41%, list=14%, signal=48%	
GSE4590_SMALL_VS_LARGE_PRE_BCELL_DN	GSE4590_SMALL_VS_LARGE_PRE_BCELL_DN	Details ...	132	0.6952129	2.5699117	0.0	0.0	0.0	1148	tags=42%, list=8%, signal=45%	
GSE30083_SP3_VS_SP4_THYMOCYTE_DN	GSE30083_SP3_VS_SP4_THYMOCYTE_DN	Details ...	156	0.67390466	2.5495946	0.0	0.0	0.0	1218	tags=38%, list=9%, signal=42%	
GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP	GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP	Details ...	135	0.6839467	2.5491595	0.0	0.0	0.0	1379	tags=41%, list=10%, signal=45%	
GSE13547_WT_VS_ZFX_KO_BCELL_ANTI_IGM_STIM_12H_DN	GSE13547_WT_VS_ZFX_KO_BCELL_ANTI_IGM_STIM_12H_DN	Details ...	116	0.6989895	2.528202	0.0	0.0	0.0	2040	tags=47%, list=14%, signal=54%	
GSE40274_GATA1_VS_FOXP3_AND_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	GSE40274_GATA1_VS_FOXP3_AND_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	Details ...	163	0.65867513	2.4975607	0.0	0.0	0.0	1901	tags=43%, list=14%, signal=49%	
GSE30962_ACUTE_VS_CHRONIC_LCMV_PRIMARY_INF_CD8_TCELL_UP	GSE30962_ACUTE_VS_CHRONIC_LCMV_PRIMARY_INF_CD8_TCELL_UP	Details ...	158	0.65467083	2.4966674	0.0	0.0	0.0	2061	tags=44%, list=15%, signal=51%	
GSE12845_PRE_GC_VS_DARKZONE_GC_TONSIL_BCELL_UP	GSE12845_PRE_GC_VS_DARKZONE_GC_TONSIL_BCELL_UP	Details ...	134	0.6629933	2.4827263	0.0	0.0	0.0	1706	tags=40%, list=12%, signal=45%	
GSE24634_TEFF_VS_TCONV_DAY3_IN_CULTURE_DN	GSE24634_TEFF_VS_TCONV_DAY3_IN_CULTURE_DN	Details ...	131	0.67008626	2.4807365	0.0	0.0	0.0	1800	tags=42%, list=13%, signal=48%	
GSE30083_SP2_VS_SP4_THYMOCYTE_DN	GSE30083_SP2_VS_SP4_THYMOCYTE_DN	Details ...	148	0.657008	2.4752553	0.0	0.0	0.0	1842	tags=46%, list=13%, signal=52%	
GSE22601_DOUBLE_POSITIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_UP	GSE22601_DOUBLE_POSITIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_UP	Details ...	177	0.6387664	2.4646938	0.0	0.0	0.0	1384	tags=38%, list=10%, signal=42%	
