© 2000-2022 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
CEBPB	3.165	transcription regulator	Inhibited	-9.174	5.83E-64	1.11E-60	ASF1B,ASNS,ATAD2,AURKA,AURKB,BIRC5,BUB1B,CBX5,CCNA2,CCNB2	162 (7)
TCF4	 	transcription regulator	 	0.895	2.91E-49	2.77E-46	ADA,AICDA,ANXA6,ARHGEF18,ASF1B,BACH2,BCL6,BIRC5,CCNA2,CCNB2	 
TCF3	 	transcription regulator	 	-0.200	5.21E-45	3.30E-42	ADA,AICDA,ANXA6,ARHGEF18,ASF1B,BACH2,BCL6,BIRC5,BTNL2,CCNA2	 
CSF2	 	cytokine	Inhibited	-6.924	1.74E-41	8.26E-39	ABCG1,ADA,AURKA,BIRC5,BUB1,BUB1B,CCNA2,CCNB1,CCNF,CDC20	 
ZBTB17	 	transcription regulator	 	 	1.49E-38	5.66E-36	ASPM,AURKB,BCL2,BUB1B,CCNA2,CCNB1,CCNB2,CDC20,CDCA8,CDK1	180 (4)
LDLR	 	transporter	 	 	2.08E-25	6.53E-23	ABCG1,APOE,AURKA,AURKB,BIRC5,BUB1B,CCNA2,CCNB1,CCNB2,CCR1	 
EP400	 	other	Inhibited	-4.768	2.40E-25	6.53E-23	AGPAT2,CCNA2,CCNF,CDC20,CDC6,CDCA3,CENPF,E2F7,E2F8,FBXO5	 
YY1	 	transcription regulator	 	-0.640	9.26E-25	2.20E-22	AURKA,AURKB,BIRC5,BTG2,BUB1B,CAPG,CCNA2,CCNB1,CCNB2,CDC25C	 
CASR	 	G-protein coupled receptor	Inhibited	-3.206	1.46E-24	3.10E-22	ARHGEF3,BCL2,BUB1B,CCNB1,CCND2,CCND3,CDC20,CDC45,CDKN1B,CENPA	 
NR1H3	 	ligand-dependent nuclear receptor	 	0.434	3.07E-23	5.84E-21	ABCG1,ADRB2,APOE,AURKA,AURKB,BIRC5,BUB1B,CCNA2,CCNB1,CCNB2	82 (3)
CD38	3.451	enzyme	 	0.901	4.34E-21	7.50E-19	AICDA,ANXA6,ASNS,ASS1,BCL6,BNIP3L,CCND2,CCNE1,CISD1,CKAP4	 
IL5	 	cytokine	 	0.076	1.17E-20	1.85E-18	AICDA,ANXA6,ASNS,ASS1,BCL6,BNIP3L,CCND2,CCNE1,CISD1,CKAP4	 
IL4	 	cytokine	 	1.499	4.04E-20	5.91E-18	Acp5,ADORA2A,AHNAK,AHR,AICDA,AK2,ANXA4,ANXA6,APOE,ASS1	206 (16)
PTGER2	 	G-protein coupled receptor	Inhibited	-4.950	6.56E-20	8.92E-18	ASPM,AURKA,BUB1B,CCNA2,CCNB2,CDKN3,CENPE,CENPF,CEP55,CFP	 
