"gene"	"length"	"logfc"	"logcpm"	"F"	"p"	"fdr"	"gene2"	"Cxcr3_Hi_A"	"Cxcr3_Hi_B"	"Cxcr3_Hi_C"	"Cxcr3_Lo_A"	"Cxcr3_Lo_B"	"Cxcr3_Lo_C"
"0610009B22Rik"	1360	0.29075902321048	4.15090153788573	3.17460525668529	0.118237051673272	0.463973981718442	"0610009B22Rik"	3.86886239678108	4.22687791605629	4.67071991971044	3.77768940317781	3.8338238725246	4.29197444607488
"0610010F05Rik"	7244	-0.39218222291061	3.54309931585657	3.09806045871188	0.12202254430263	0.468236031615197	"0610010F05Rik"	3.53782941998456	3.75591616364375	2.6047163046385	3.83162439607331	3.7949316953184	3.4464907902243
"0610010K14Rik"	981	0.133301771689095	5.76439549814564	1.19136746019364	0.311389379172017	0.640858683554185	"0610010K14Rik"	5.66454032148123	5.65733341443339	6.12951485477454	5.69843766771292	5.54785751713212	5.80903826777332
"0610012G03Rik"	1456	0.112368361636851	4.59369404716559	0.0976268516541311	0.763849166109347	0.911859782110775	"0610012G03Rik"	4.75381974398096	4.79673505313309	4.18827167553473	5.0496313730149	3.43906991804882	4.78476885648337
"0610030E20Rik"	4996	-0.294424996552932	4.81081282630441	3.63207606929602	0.0986016016302683	0.442007296174191	"0610030E20Rik"	4.69014402379458	4.52562873957835	4.71856978885585	4.73480817941236	4.81748118756055	5.25677023537717
"0610039H22Rik"	730	-0.0167613626470204	2.24712640748242	0.00301350267909449	0.957764274149203	0.986238911652076	"0610039H22Rik"	1.92324326269618	2.17484096096776	2.57531602435298	2.2951944744241	2.36649350277566	2.08631421467367
"0610040F04Rik"	2393	-0.431039610033877	1.56631380081289	1.47763255043586	0.263761382529819	0.60421147233464	"0610040F04Rik"	1.36309498817632	1.85134915502881	0.375491805316683	1.53260224272206	2.77895615057061	0.433881697719498
"1110002L01Rik"	3300	-0.132385882394847	2.7756104411565	0.328875307482452	0.584366871330919	0.820438955570715	"1110002L01Rik"	2.61413722635059	2.87024581490354	2.64772297620363	2.83738506677258	2.87531556012834	2.80528499256614
"1110004F10Rik"	1853	0.147886023846326	7.9467898632389	3.46029871265976	0.105422862992751	0.450387188347765	"1110004F10Rik"	8.04385159779205	7.85243887336114	8.13568543173276	7.96065092929848	7.60155215395531	8.02539582968829
"1110008P14Rik"	657	0.314455249819804	4.47697550238099	4.52770659471245	0.0711190944184639	0.406297431385977	"1110008P14Rik"	4.45861484947686	4.33348480844214	4.99878944529938	4.24332430290244	4.04743528068462	4.56706195000854
"1110015O18Rik"	1533	-0.408537272735842	1.77197701901151	1.65909630587813	0.238890493385028	0.581199534342666	"1110015O18Rik"	1.56592272496591	1.75771813675362	1.33589301180376	2.15717145767938	2.31244144218604	1.36184037341943
"1110019D14Rik"	1498	-0.33872806481743	2.57083462505834	1.86743473521352	0.214272413103428	0.561380248570955	"1110019D14Rik"	2.38819453789083	2.60942020630498	2.16593543563519	2.67827251014252	3.09933712585159	2.38180084398942
"1110032A03Rik"	5581	-0.24461608191883	3.72522705541391	1.78272813144692	0.223826988099075	0.570241627338378	"1110032A03Rik"	3.51700817820852	3.68985514633183	3.58902508142881	3.98909011736348	3.77508523628231	3.75410827934856
"1110038B12Rik"	590	0.0457621658493337	4.10693668160221	0.0421966347391113	0.843123879248782	0.945109620461192	"1110038B12Rik"	4.12881469157318	3.48111603244751	4.62840342432785	4.20296870050136	3.89026426042679	4.04796346153874
"1110038F14Rik"	1661	0.116748955684906	5.2998419918412	0.735970934565504	0.419511663549143	0.719074250025122	"1110038F14Rik"	5.10256551546169	5.18030064093678	5.72168451643424	5.22108599751189	4.98233696740391	5.45358101364975
"1110051M20Rik"	5946	0.113173256062967	3.51941129488875	0.36765300129115	0.563530754230288	0.809468329388182	"1110051M20Rik"	3.65681531848627	3.69828010318933	3.35820469561492	3.46312860821661	3.5128258446402	3.39864497709963
"1110059E24Rik"	1428	-0.0161451469555332	6.42790469486628	0.0152550646529407	0.90519308272983	0.965948415062205	"1110059E24Rik"	6.6307194720848	6.06980776320013	6.5144854610388	6.32444522637483	6.30758139424395	6.63369977797091
